day,month,year,opening_value,close_value,min_value,max_value,volume
9,8,2007,14955.700,14838.300,14755.700,14988.800,5278433
8,8,2007,14721.700,15004.200,14719.600,15028.700,4278398
7,8,2007,14580.900,14652.900,14522.700,14655.000,2962754
6,8,2007,14404.900,14432.100,14385.300,14539.300,3269170
3,8,2007,14712.600,14534.300,14533.900,14719.500,3493390
2,8,2007,14677.000,14678.600,14626.200,14756.000,3768949
1,8,2007,14508.900,14595.700,14441.800,14733.500,5327770
31,7,2007,14617.800,14802.400,14604.100,14781.300,4190176
30,7,2007,14603.400,14507.900,14462.300,14650.300,3698923
27,7,2007,14389.500,14587.500,14378.700,14655.500,4940900
26,7,2007,14984.600,14540.400,14540.100,15012.900,5640053
25,7,2007,14846.600,14937.700,14774.900,15036.900,4844937
24,7,2007,15020.600,14913.300,14869.400,15135.200,4136546
23,7,2007,14933.900,15056.700,14875.000,15051.200,2817661
20,7,2007,15196.700,14930.100,14925.800,15249.700,4617343
19,7,2007,15136.100,15207.300,15123.500,15297.200,4114215
18,7,2007,15047.300,15058.600,15037.800,15197.400,4266040
17,7,2007,15077.100,15153.800,15047.900,15168.500,3780237
16,7,2007,15041.400,15110.400,15009.900,15117.600,3061553
13,7,2007,15056.000,15023.500,14981.100,15082.700,3320563
12,7,2007,14803.300,14941.800,14672.500,14917.400,3732206
11,7,2007,14701.500,14766.200,14601.800,14795.400,3822174
10,7,2007,14953.200,14823.900,14751.500,15021.100,3722276
9,7,2007,15102.300,14974.700,14951.000,15145.900,2923221
6,7,2007,14901.400,15058.300,14875.200,15047.600,3090150
5,7,2007,15022.100,14907.400,14885.000,15025.700,3298707
4,7,2007,14884.000,14989.700,14878.100,15000.700,2965702
3,7,2007,14863.500,14869.400,14854.900,14917.900,3072071
2,7,2007,14790.800,14804.700,14741.200,14850.900,2978129
29,6,2007,14870.100,14892.000,14712.200,14878.200,3749619
28,6,2007,14806.600,14819.900,14744.300,14840.700,4027607
27,6,2007,14680.000,14681.700,14582.400,14751.300,5275453
26,6,2007,14727.900,14755.200,14708.500,14884.800,4766264
25,6,2007,14672.000,14848.300,14595.100,14857.900,4136350
22,6,2007,14910.300,14784.900,14756.800,14943.000,3735352
21,6,2007,14918.900,14882.400,14790.800,14951.100,4704499
20,6,2007,15060.900,15035.700,15011.000,15095.000,4031834
19,6,2007,15111.500,15000.200,14913.300,15164.400,4298309
18,6,2007,15239.900,15103.600,15053.200,15251.200,4325151
